eventid,nhostkid,nhours,ndays,hostkidoutcome_txt,nreleased
200103250006,4.0,,,Hostage(s) released by perpetrators,4.0
200103270001,2.0,,,,
200103280001,4.0,,,,
200104020001,23.0,,,,
200104150001,50.0,,,,
200104160001,92.0,,3.0,Hostage(s) released by perpetrators,92.0
200104220001,104.0,12.0,,Hostage(s) released by perpetrators,104.0
200104230001,10.0,,,Combination,8.0
200104280004,3.0,,,,
200104300002,2.0,,,,
200105030001,3.0,,,,
200105050001,120.0,,,Combination,21.0
200105110004,6.0,,6.0,Hostage(s) released by perpetrators,6.0
200105140001,190.0,,2.0,Hostage(s) released by perpetrators,190.0
200105150003,,,,,
200105150004,25.0,,,,
200105270003,20.0,,,Combination,
200105290004,2.0,6.0,,Hostage(s) released by perpetrators,2.0
200106010004,1.0,,0.0,Hostage(s) released by perpetrators,1.0
200106020002,200.0,,370.0,Combination,
200106020004,1.0,,,,
200106100002,1.0,,,,
200106110001,50.0,,,Combination,
200106150003,10.0,,,Hostage(s) killed (not during rescue attempt),0.0
200106150005,15.0,,2.0,Hostage(s) released by perpetrators,15.0
200106150007,1.0,,11.0,Hostage(s) released by perpetrators,1.0
200106230004,1.0,,0.0,Hostage(s) released by perpetrators,1.0
200106250005,1.0,,4.0,Hostage(s) released by perpetrators,1.0
200106270004,41.0,,0.0,Hostage(s) released by perpetrators,41.0
200106290001,5.0,,0.0,Hostage(s) killed (not during rescue attempt),0.0
200107040003,3.0,,22.0,Combination,2.0
200107090005,1.0,,,,
200107110003,1.0,,22.0,Hostage(s) released by perpetrators,1.0
200107150002,1.0,,,,
200107180002,,,,,
200107180003,3.0,,,,
200107220005,1.0,12.0,0.0,Hostage(s) released by perpetrators,1.0
200107230002,1.0,18.0,,Hostage(s) escaped (not during rescue attempt),1.0
200107230003,3.0,,,,
200107230005,1.0,,,,
200107230006,1.0,,,,
200107230007,2.0,,,,
200107230008,3.0,,,,
200107270001,16.0,,,,6.0
200107310001,40.0,,,Successful Rescue,40.0
200108010002,41.0,12.0,,Combination,25.0
200108020001,34.0,,,,
200108020005,2.0,,,Hostage(s) killed (not during rescue attempt),0.0
200108040003,22.0,,,Combination,2.0
200108050006,,,,,
200108050021,3.0,,,,
200108050025,18.0,,,Combination,3.0
200108060006,6.0,,,,
200108060007,3.0,,,,
200108060008,3.0,,,,
200108070005,5.0,,1.0,Hostage(s) released by perpetrators,5.0
200108070006,2.0,,,,
200108070011,3.0,,,,
200108070012,1.0,,1.0,Hostage(s) killed (not during rescue attempt),1.0
200108100005,3.0,,4.0,Hostage(s) released by perpetrators,3.0
200108100006,4.0,,,,
200108100007,3.0,,,,
200108100011,1.0,,,Hostage(s) killed (not during rescue attempt),1.0
200108100012,1.0,,,Hostage(s) killed (not during rescue attempt),1.0
200108100013,12.0,,,,
200108100015,2.0,,9.0,Hostage(s) released by perpetrators,2.0
200108120019,1.0,,,Hostage(s) released by perpetrators,1.0
200108120021,5.0,,8.0,Combination,5.0
200108120022,4.0,,6.0,Combination,1.0
200108140003,18.0,,,Combination,14.0
200108140005,15.0,,,Hostage(s) released by perpetrators,15.0
200108140009,5.0,,,,
200108150018,9.0,,,,
200108160015,1.0,,,,
200108170009,6.0,3.0,,Combination,6.0
200108180009,1.0,,4.0,Successful Rescue,1.0
200108180010,9.0,,,Hostage(s) killed (not during rescue attempt),
200108190003,1.0,,,,
200108190006,4.0,,,Hostage(s) released by perpetrators,4.0
200108200008,5.0,,1.0,Successful Rescue,5.0
200108200013,20.0,,,,
200108200015,1.0,,4.0,Hostage(s) released by perpetrators,
200108200017,6.0,,,,
200108230011,10.0,,,,
200108230020,5.0,,,,
200108240014,2.0,,,Hostage(s) killed (not during rescue attempt),
200108240016,1.0,,3.0,Hostage(s) killed (not during rescue attempt),
200108240018,1.0,,,,
200108250001,5.0,,1.0,Hostage(s) killed (not during rescue attempt),
200108250021,6.0,,,,
200108250023,1.0,,,,
200108260018,2.0,,,Hostage(s) killed (not during rescue attempt),
200108280009,28.0,,,Hostage(s) released by perpetrators,28.0
200108280013,1.0,,,,
200108290014,10.0,,,,
200108300002,1.0,,,,
200108300010,7.0,,,Hostage(s) killed (not during rescue attempt),
200108310006,1.0,,,Hostage(s) released by perpetrators,1.0
200108310007,6.0,,,Combination,
200109020005,1.0,,,,
200109030001,2.0,,,,
200109110004,88.0,1.0,,Hostage(s) killed (not during rescue attempt),0.0
200109110005,59.0,1.0,,Hostage(s) killed (not during rescue attempt),0.0
200109110006,59.0,1.0,,Hostage(s) killed (not during rescue attempt),0.0
200109110007,40.0,1.0,,Hostage(s) killed (not during rescue attempt),0.0
200109150002,,,,,
200109230002,3.0,,,,
200109240005,13.0,,5.0,Combination,12.0
200109270002,5.0,,,Combination,4.0
200109280002,1.0,,,,
