eventid,attacktype
199807220001,Hostage Taking (Kidnapping)
199807230001,Assassination
199807240001,Armed Assault
199807240002,Bombing/Explosion
199807240002,Armed Assault
199807240003,Bombing/Explosion
199807240003,Armed Assault
199807250001,Armed Assault
199807250002,Armed Assault
199807250003,Bombing/Explosion
199807250004,Bombing/Explosion
199807260002,Armed Assault
199807260003,Armed Assault
199807260004,Armed Assault
199807260004,Bombing/Explosion
199807270001,Armed Assault
199807270002,Bombing/Explosion
199807270003,Facility/Infrastructure Attack
199807270004,Facility/Infrastructure Attack
199807270005,Facility/Infrastructure Attack
199807270006,Bombing/Explosion
199807280001,Facility/Infrastructure Attack
199807280003,Armed Assault
199807280004,Armed Assault
199807280005,Armed Assault
199807280006,Bombing/Explosion
199807280007,Bombing/Explosion
199807280008,Bombing/Explosion
199807280009,Bombing/Explosion
199807280010,Bombing/Explosion
199807290001,Armed Assault
199807290002,Bombing/Explosion
199807290003,Bombing/Explosion
199807290005,Bombing/Explosion
199807290006,Bombing/Explosion
199807290007,Bombing/Explosion
199807290008,Armed Assault
199807290009,Bombing/Explosion
199807290010,Bombing/Explosion
199807300001,Bombing/Explosion
199807300001,Armed Assault
199807300002,Bombing/Explosion
199807300003,Armed Assault
199807310001,Bombing/Explosion
199807310002,Bombing/Explosion
199807310003,Armed Assault
199807310004,Bombing/Explosion
199807310004,Hostage Taking (Kidnapping)
199808010001,Armed Assault
199808010001,Bombing/Explosion
199808010002,Bombing/Explosion
199808010003,Assassination
199808020001,Bombing/Explosion
199808020002,Bombing/Explosion
199808020002,Facility/Infrastructure Attack
199808020003,Armed Assault
199808020004,Bombing/Explosion
199808020005,Bombing/Explosion
199808020006,Bombing/Explosion
199808020007,Armed Assault
199808020007,Hostage Taking (Kidnapping)
199808030001,Armed Assault
199808030002,Armed Assault
199808030003,Armed Assault
199808030004,Armed Assault
199808030005,Bombing/Explosion
199808030005,Hostage Taking (Kidnapping)
199808030006,Bombing/Explosion
199808030007,Bombing/Explosion
199808030008,Bombing/Explosion
199808030008,Hostage Taking (Kidnapping)
199808030009,Facility/Infrastructure Attack
199808030010,Facility/Infrastructure Attack
199808030011,Armed Assault
199808030012,Armed Assault
199808030013,Armed Assault
199808030014,Armed Assault
199808030015,Armed Assault
199808030016,Armed Assault
199808030017,Armed Assault
199808030018,Armed Assault
199808030019,Armed Assault
199808030020,Armed Assault
199808030021,Armed Assault
199808030022,Armed Assault
199808030023,Armed Assault
199808030024,Armed Assault
199808030025,Armed Assault
199808030026,Armed Assault
199808040001,Armed Assault
199808040002,Bombing/Explosion
199808040003,Armed Assault
199808040004,Armed Assault
199808040005,Hostage Taking (Kidnapping)
199808040006,Hostage Taking (Kidnapping)
199808040007,Hostage Taking (Kidnapping)
199808040008,Hostage Taking (Kidnapping)
199808040009,Hostage Taking (Kidnapping)
199808040010,Hostage Taking (Kidnapping)
199808040011,Hostage Taking (Kidnapping)
199808040013,Bombing/Explosion
199808040014,Bombing/Explosion
199808040015,Bombing/Explosion
199808040016,Bombing/Explosion
199808040017,Bombing/Explosion
199808040018,Bombing/Explosion
